ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
1195519-20031116,1421443,220542,10,SMART TAX INC.,JACKSON HEWITT TAX SERVICE,5816 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1195519,RENEW,,09/26/2003,01/21/2004,N,11/16/2003,02/15/2004,12/22/2003,01/21/2004,AAI,,,41.894884245,-87.771002148,"(41.894884245372374, -87.77100214827898)"
42812-20071116,1854042,34897,1,CHICAGO AUSTIN CURR EXCH INC,CHICAGO AUSTIN CURR EXCH INC,5946 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,42812,RENEW,,09/21/2007,11/16/2007,N,11/16/2007,11/15/2009,11/16/2007,11/19/2007,AAI,,,41.894836792,-87.774164297,"(41.89483679195746, -87.77416429728628)"
1299334-20021108,1299334,253799,1,JACASH INCORPORATE,LINGERIE FOR EVERY DAY,5746 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1299334,ISSUE,09/26/2002,10/22/2002,10/22/2002,N,11/08/2002,11/15/2003,11/06/2002,11/08/2002,AAI,,,41.894901466,-87.769596244,"(41.89490146631802, -87.76959624413342)"
1873175-20131116,2286257,67715,2,FOUSSENA NANDOMA,FLORENCE AFRICAN HAIR BRAIDING,5923 W CHICAGO AVE 1,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1873175,RENEW,,09/15/2013,02/03/2014,N,11/16/2013,11/15/2015,02/03/2014,02/03/2014,AAI,,,41.894630548,-87.773257143,"(41.89463054803182, -87.77325714348717)"
1947832-20081222,1947832,339687,4,"DELTA FINANCIALS, INC.",LIBERTY TAX SERVICE 5948,5805 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1947832,ISSUE,12/22/2008,12/22/2008,12/22/2008,N,12/22/2008,01/15/2011,12/22/2008,12/22/2008,AAI,,,41.89467209,-87.770437438,"(41.894672089979515, -87.77043743792723)"
2184968-20161116,2491299,375457,1,COLEMAN'S BARBEQUE 2 LLC,COLEMAN'S BARBEQUE 2 LLC,5752-5754 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,45,29-45,15,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2184968,RENEW,,09/15/2016,10/01/2016,N,11/16/2016,11/15/2018,10/01/2016,10/03/2016,AAI,,,41.894897805,-87.769843107,"(41.894897804583955, -87.76984310664683)"
1573297-20050202,1573297,286166,1,CORNELL T. HARRIS,STUDIO 7,5811 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1573297,ISSUE,12/29/2004,02/01/2005,02/01/2005,N,02/02/2005,11/15/2005,02/01/2005,02/02/2005,AAI,,,41.894669765,-87.77066533,"(41.89466976462685, -87.77066533021669)"
1545848-20091116,1994060,51393,3,CHU-IN-YUN,IDEEL CLEANERS,5609 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1545848,RENEW,,09/15/2009,11/10/2009,N,11/16/2009,11/15/2011,11/10/2009,11/12/2009,AAI,,,41.89473748,-87.765798787,"(41.89473747960189, -87.76579878716564)"
2493308-20161017,2493308,410812,1,Tracy Pierce,Tracy Traniece Salon,5661 W CHICAGO AVE WEST ENTRANCE,CHICAGO,IL,60651,29,,29-,,1010,Limited Business License,894 | 904,Hair Services | Retail Sales of General Merchandise,2493308,ISSUE,10/14/2016,10/14/2016,10/16/2016,N,10/17/2016,11/15/2018,10/16/2016,10/17/2016,AAI,,,41.894710512,-87.767764563,"(41.894710512241254, -87.76776456348807)"
1573645-20111116,2117665,263230,2,"CENTRAL CHICAGO CURRENCY EXCHANGE,INC.","CENTRAL CHICAGO CURRENCY EXCHANGE, INC.",5601 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1573645,RENEW,,09/15/2011,10/26/2011,N,11/16/2011,11/15/2013,10/26/2011,10/27/2011,AAI,,,41.894742828,-87.765453397,"(41.894742828323416, -87.7654533968402)"
2496458-20161103,2496458,411353,1,EMPERORS EMPORIUM INC.,EMPERORS EMPORIUM,5803 W CHICAGO AVE 1,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,2496458,ISSUE,11/03/2016,11/03/2016,11/03/2016,N,11/03/2016,11/15/2018,11/03/2016,11/03/2016,AAI,,,41.894672901,-87.77036131,"(41.894672901184975, -87.77036130980994)"
1768650-20061220,1768650,310781,1,"KIDDIE KORRAL ACADEMY, INC.",KIDDIE KORRAL ACADEMY,5836-5838 W CHICAGO AVE 1,CHICAGO,IL,60651,29,45,29-45,15,1586,Day Care Center Under 2 and 2 - 6 Years,,,1768650,ISSUE,10/26/2006,10/30/2006,10/30/2006,N,12/20/2006,11/15/2007,12/19/2006,12/20/2006,AAI,,,41.894872435,-87.771795913,"(41.894872435106244, -87.77179591291225)"
41118-19991116,190822,34416,1,ROCK & FOLD LAUNDROMAT INC,ROCK & FOLD LAUNDROMAT,5612 W CHICAGO AVE,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,41118,RENEW,,06/16/2000,05/19/2003,N,11/16/1999,11/15/2000,05/19/2003,05/19/2003,AAI,,,41.894954588,-87.765976521,"(41.894954588218056, -87.76597652133323)"
1873175-20151116,2425321,67715,2,FOUSSENA NANDOMA,FLORENCE AFRICAN HAIR BRAIDING,5923 W CHICAGO AVE 1,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1873175,RENEW,,09/15/2015,11/05/2015,N,11/16/2015,11/15/2017,11/05/2015,11/06/2015,AAI,,,41.894630548,-87.773257143,"(41.89463054803182, -87.77325714348717)"
1303925-20051116,1638609,255973,1,BEMIS LESTER,UNIQUE EPOXY FLOORING SYSTEM,5924 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1303925,RENEW,,09/22/2005,11/15/2005,N,11/16/2005,11/15/2006,11/15/2005,11/16/2005,AAI,,,41.894848981,-87.77333782,"(41.89484898099712, -87.77333781998448)"
1873175-20091116,1994456,67715,2,FOUSSENA NANDOMA,FLORENCE AFRICAN HAIR BRAIDING,5923 W CHICAGO AVE 1,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1873175,RENEW,,09/15/2009,11/16/2009,N,11/16/2009,11/15/2011,11/16/2009,11/16/2009,AAI,,,41.894630548,-87.773257143,"(41.89463054803182, -87.77325714348717)"
42812-20021116,1286870,34897,1,CHICAGO AUSTIN CURR EXCH INC,CHICAGO AUSTIN CURR EXCH INC,5946 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,42812,RENEW,,09/24/2002,10/10/2002,N,11/16/2002,11/15/2003,10/10/2002,10/11/2002,AAI,,,41.894836792,-87.774164297,"(41.89483679195746, -87.77416429728628)"
2423-20021116,1289316,50329,1,MELVIN OWENS,DENO'S HAIR KINGDOM,5616 W CHICAGO AVE # STORE,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,2423,RENEW,,09/24/2002,08/25/2003,N,11/16/2002,11/15/2003,11/08/2002,02/10/2003,AAI,,,41.894952128,-87.766148731,"(41.89495212836471, -87.76614873108504)"
1948689-20090112,1948689,340084,4,UNITED PARITY CORPORATION,FLASH TAX SERVICE,5951 W CHICAGO AVE 1ST A,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1948689,ISSUE,01/12/2009,01/12/2009,01/12/2009,N,01/12/2009,12/15/2010,01/12/2009,01/12/2009,AAC,01/13/2010,,41.894615,-87.774308494,"(41.894615000303915, -87.77430849375654)"
1195519-20050216,1564605,220542,10,SMART TAX INC.,JACKSON HEWITT TAX SERVICE,5816 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1195519,RENEW,,12/20/2004,03/16/2005,N,02/16/2005,02/15/2006,03/16/2005,03/16/2005,AAI,,,41.894884245,-87.771002148,"(41.894884245372374, -87.77100214827898)"
1893422-20111116,2118822,328919,1,KWAN H. KIM,MOM'S WASHLAND,5637 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1456,"Laundry, Late Hour",,,1893422,RENEW,,09/15/2011,12/19/2011,N,11/16/2011,11/15/2013,12/19/2011,12/20/2011,AAC,12/29/2012,,41.89472402,-87.766777177,"(41.89472402028131, -87.76677717696077)"
3158-20021116,1289331,50377,1,DONALD FALATO,WASHOUT INN,5951 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,3158,RENEW,,09/24/2002,10/21/2002,N,11/16/2002,11/15/2003,10/21/2002,10/22/2002,AAI,,,41.894615,-87.774308494,"(41.894615000303915, -87.77430849375654)"
59370-20051116,1626722,18849,2,JUNG W & WOO J NO,CHICAGO BEAUTY SUPPLY,5600 W CHICAGO AVE # 1ST,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,59370,RENEW,,09/22/2005,10/07/2005,N,11/16/2005,11/15/2006,10/07/2005,10/11/2005,AAI,,,41.894962293,-87.765460791,"(41.89496229349977, -87.76546079122906)"
80812-20011116,1184476,48931,1,600 COLLECTION,600 COLLECTION,5941 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,80812,RENEW,,10/03/2001,02/07/2002,N,11/16/2001,11/15/2002,02/07/2002,02/08/2002,AAI,,,41.894620757,-87.773932934,"(41.89462075732308, -87.77393293436263)"
1226127-20020305,1226127,243453,2,"QUICK REFUNDS, INC.",QUICK REFUNDS,5727 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1226127,ISSUE,02/28/2002,02/28/2002,02/28/2002,N,03/05/2002,11/15/2002,03/05/2002,03/06/2002,AAI,,,41.89468877,-87.76909651,"(41.89468876960142, -87.76909651001375)"
2146233-20120316,2146233,37164,2,MARVIN MEDLOCK,MEDLOCK CONSTRUCTION,5801 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1011,Home Repair,,,2146233,ISSUE,03/15/2012,03/15/2012,03/15/2012,N,03/16/2012,11/15/2013,03/15/2012,03/16/2012,AAC,12/29/2012,,41.894674466,-87.770200318,"(41.89467446603847, -87.77020031763878)"
59367-20071116,1854772,41066,1,ANGELINE MILES/JOANN FOX,GUYS & DOLLS,5740 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,59367,RENEW,,09/21/2007,11/05/2007,N,11/16/2007,11/15/2009,11/05/2007,11/06/2007,AAI,,,41.89490512,-87.769348856,"(41.894905119902646, -87.76934885575506)"
2137988-20120206,2137988,369530,1,AUSTIN DOLLAR PLUS INC.,AUSTIN DOLLAR PLUS,5961-5963 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,2137988,ISSUE,02/06/2012,02/06/2012,02/06/2012,N,02/06/2012,02/15/2014,02/06/2012,02/06/2012,AAC,12/29/2012,,41.894609147,-87.774683966,"(41.89460914732169, -87.77468396587314)"
1403896-20040216,1425249,259118,2,JEANNE HARRINGTON,MONA',5803 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1403896,RENEW,,12/15/2003,02/03/2004,N,02/16/2004,11/15/2004,12/22/2003,02/04/2004,AAI,,,41.894672901,-87.77036131,"(41.894672901184975, -87.77036130980994)"
1979884-20110116,2066249,36485,3,THOMAS MECHANICAL CORPORATION,THOMAS MECHANICAL CORP.,5847 W CHICAGO AVE 2ND 2,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1979884,RENEW,,11/15/2010,02/14/2011,N,01/16/2011,01/15/2013,02/14/2011,02/15/2011,AAI,,,41.894649367,-87.772034695,"(41.894649367208196, -87.77203469457346)"
14251-20080316,1886452,85659,78,H&R BLOCK ENTERPRISES LLC,"H & R BLOCK TAX SERVICES, INC",5753 W CHICAGO AVE 1ST #,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,14251,RENEW,,01/22/2008,02/27/2008,N,03/16/2008,03/15/2010,02/27/2008,02/28/2008,AAI,,,41.8946754,-87.770085469,"(41.89467540014591, -87.77008546898129)"
2008889-20100224,2008889,334886,2,"FORREST CLEANERS, INC.","FORREST CLEANERS, INC.",5925 W CHICAGO AVE 1,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,2008889,ISSUE,12/03/2009,02/24/2010,02/24/2010,N,02/24/2010,01/15/2012,02/24/2010,02/24/2010,AAI,,,41.894629485,-87.773332258,"(41.89462948546298, -87.77333225771955)"
1195519-20040216,1474627,220542,10,SMART TAX INC.,JACKSON HEWITT TAX SERVICE,5816 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1195519,RENEW,,01/21/2004,01/21/2004,N,02/16/2004,02/15/2005,01/21/2004,04/16/2004,AAI,,,41.894884245,-87.771002148,"(41.894884245372374, -87.77100214827898)"
52622-20021116,1282402,17669,1,THE GOOD GUYS GROCERY INC,THE GOOD GUYS GUYS GROCERIES,5851 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,52622,RENEW,,09/24/2002,11/12/2002,N,11/16/2002,11/15/2003,11/12/2002,11/13/2002,AAC,10/10/2003,,41.894646738,-87.772186926,"(41.894646738205715, -87.77218692559813)"
1573645-20071116,1861682,263230,2,"CENTRAL CHICAGO CURRENCY EXCHANGE,INC.","CENTRAL CHICAGO CURRENCY EXCHANGE, INC.",5601 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1573645,RENEW,,09/21/2007,10/06/2007,N,11/16/2007,11/15/2009,10/06/2007,10/09/2007,AAI,,,41.894742828,-87.765453397,"(41.894742828323416, -87.7654533968402)"
1543954-20041021,1543954,283340,2,FREEDOM TAX SERVICES INC,LIBERTY TAX SERVICE,5805 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1543954,ISSUE,10/20/2004,10/20/2004,10/20/2004,N,10/21/2004,02/15/2005,10/20/2004,10/21/2004,AAI,,,41.89467209,-87.770437438,"(41.894672089979515, -87.77043743792723)"
2273-20111116,2116054,24305,1,PETRO POPOWYCZ,PETRO POPOWYCZ,5837 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1054,Veterinary Hospital,,,2273,RENEW,,09/15/2011,11/08/2011,N,11/16/2011,11/15/2013,11/08/2011,11/09/2011,AAC,09/04/2012,,41.8946548,-87.771654816,"(41.894654799658774, -87.77165481600393)"
1303926-20051116,1638608,255973,1,BEMIS LESTER,UNIQUE EPOXY FLOORING SYSTEM,5924 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1011,Home Repair,,,1303926,RENEW,,09/22/2005,11/15/2005,N,11/16/2005,11/15/2006,11/15/2005,11/16/2005,AAI,,,41.894848981,-87.77333782,"(41.89484898099712, -87.77333781998448)"
1244076-20031116,1435838,89091,3,CAROL D JACKSON,BY FAITH,5700 W CHICAGO AVE 1 #,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1244076,RENEW,,09/26/2003,10/28/2003,N,11/16/2003,11/15/2004,10/28/2003,01/22/2004,AAI,,,41.89492663,-87.768008331,"(41.89492662954099, -87.76800833135303)"
1579142-20140216,2300358,31813,6,PLANNED PARENTHOOD OF ILLINOIS,PLANNED PARENTHOOD/CHICAGO AREA,5937 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1579142,RENEW,,12/15/2013,01/22/2014,N,02/16/2014,02/15/2016,01/22/2014,01/23/2014,AAI,,,41.89462306,-87.773782711,"(41.894623059786724, -87.77378271058993)"
2134045-20120215,2134045,368690,1,JOANN FOX,GUYS & DOLLS,5740 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,2134045,ISSUE,12/28/2011,02/15/2012,02/15/2012,N,02/15/2012,03/15/2014,02/15/2012,02/15/2012,AAI,,,41.89490512,-87.769348856,"(41.894905119902646, -87.76934885575506)"
1246364-20111116,2117502,247170,1,COMMUNITY DOLLAR INC,AUSTIN DOLLAR PLUS,5961 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1246364,RENEW,,09/15/2011,10/31/2011,N,11/16/2011,11/15/2013,10/31/2011,11/01/2011,AAI,,,41.894609147,-87.774683966,"(41.89460914732169, -87.77468396587314)"
1573645-20061116,1758582,263230,2,"CENTRAL CHICAGO CURRENCY EXCHANGE,INC.","CENTRAL CHICAGO CURRENCY EXCHANGE, INC.",5601 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1573645,RENEW,,09/20/2006,11/03/2006,N,11/16/2006,11/15/2007,11/03/2006,11/06/2006,AAI,,,41.894742828,-87.765453397,"(41.894742828323416, -87.7654533968402)"
1353708-20051116,1639245,262068,1,JEFFREY M. PERKINS,HIZ & HERZ BEAUTY,5923 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1353708,RENEW,,09/22/2005,11/15/2005,N,11/16/2005,11/15/2006,11/15/2005,11/16/2005,AAI,,,41.894630548,-87.773257143,"(41.89463054803182, -87.77325714348717)"
1579142-20070216,1778739,31813,6,PLANNED PARENTHOOD OF ILLINOIS,PLANNED PARENTHOOD/CHICAGO AREA,5937 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1579142,RENEW,,12/20/2006,01/10/2007,N,02/16/2007,02/15/2008,01/10/2007,01/11/2007,AAI,,,41.89462306,-87.773782711,"(41.894623059786724, -87.77378271058993)"
16429-20021116,1287305,37164,1,MARVIN MEDLOCK,MEDLOCK CONTRUCTION,5801 W CHICAGO AVE  1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,16429,RENEW,,09/24/2002,11/14/2002,N,11/16/2002,11/15/2003,11/14/2002,02/21/2003,AAI,,,41.894674466,-87.770200318,"(41.89467446603847, -87.77020031763878)"
2273-20021116,1284052,24305,1,PETRO POPOWYCZ,PETRO POPOWYCZ,5837 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1054,Veterinary Hospital,,,2273,RENEW,,09/24/2002,10/21/2002,N,11/16/2002,11/15/2003,10/21/2002,10/22/2002,AAI,,,41.8946548,-87.771654816,"(41.894654799658774, -87.77165481600393)"
1737462-20070216,1778740,31813,6,PLANNED PARENTHOOD OF ILLINOIS,PLANNED PARENTHOOD/CHICAGO AREA,5937 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1004,Laboratories,,,1737462,RENEW,,12/20/2006,01/10/2007,N,02/16/2007,02/15/2008,01/11/2007,01/12/2007,AAI,,,41.89462306,-87.773782711,"(41.894623059786724, -87.77378271058993)"
1548382-20111016,2111286,79616,4,THE SALVATION ARMY,THE SALVATION ARMY THRIFT STORE,5713 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1548382,RENEW,,08/15/2011,10/03/2011,N,10/16/2011,10/15/2013,10/03/2011,10/04/2011,AAI,,,41.894698426,-87.768494215,"(41.89469842586008, -87.76849421472855)"
1303925-20111116,2117579,255973,1,BEMIS LESTER,UNIQUE EPOXY FLOORING SYSTEM,5924 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1303925,RENEW,,09/15/2011,03/06/2012,N,11/16/2011,11/15/2013,03/06/2012,03/06/2012,AAI,,,41.894848981,-87.77333782,"(41.89484898099712, -87.77333781998448)"
1804599-20071116,1867857,314413,1,"G & P AUTO PARTS, INC.",ACTIVE AUTO PARTS,5912-14 W CHICAGO AVE 1,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1804599,RENEW,,09/21/2007,11/09/2007,N,11/16/2007,11/15/2009,11/09/2007,11/13/2007,AAI,,,41.894855483,-87.772887745,"(41.89485548259188, -87.77288774548364)"
16429-20111116,2116398,37164,1,MARVIN MEDLOCK,MEDLOCK CONTRUCTION,5801 W CHICAGO AVE  1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,16429,RENEW,,09/15/2011,10/25/2011,N,11/16/2011,11/15/2013,10/25/2011,10/25/2011,AAC,10/04/2013,,41.894674466,-87.770200318,"(41.89467446603847, -87.77020031763878)"
1846987-20070830,1846987,321948,1,KARL BELL,THATZ WET,5624 W CHICAGO AVE GROUND,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,1846987,ISSUE,08/30/2007,08/30/2007,08/30/2007,N,08/30/2007,11/15/2009,08/30/2007,08/30/2007,AAI,,,41.894946126,-87.766493675,"(41.89494612641761, -87.7664936748993)"
2104222-20111116,2117155,89091,4,CAROL D JACKSON,BY FAITH HARI SALON,5700 W CHICAGO AVE 1 1,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,2104222,RENEW,,09/15/2011,11/03/2011,N,11/16/2011,11/15/2013,11/03/2011,11/04/2011,AAI,,,41.89492663,-87.768008331,"(41.89492662954099, -87.76800833135303)"
1575168-20050126,1575168,286914,1,"URBAN LEGENDS 2, INC",URBAN LEGENDS,5941 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1575168,ISSUE,01/25/2005,01/25/2005,01/25/2005,N,01/26/2005,11/15/2005,01/25/2005,01/26/2005,AAI,,,41.894620757,-87.773932934,"(41.89462075732308, -87.77393293436263)"
1974585-20111116,2119175,343815,1,"BETTY'S DAY CARE ACADEMY, INC.","BETTY'S DAY CARE ACADEMY, INC.",5725 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,35,29-35,15,1586,Day Care Center Under 2 and 2 - 6 Years,,,1974585,RENEW,,09/15/2011,09/28/2011,N,11/16/2011,11/15/2013,11/15/2011,11/16/2011,AAC,12/29/2012,,41.894690487,-87.768986957,"(41.89469048714729, -87.76898695672315)"
41115-20031116,1427171,6827,2,SHAELYN INC,ALICE'S,5638 W CHICAGO AVE,CHICAGO,IL,60651,29,5,29-5,15,1006,Retail Food Establishment,,,41115,RENEW,,09/26/2003,11/14/2003,N,11/16/2003,11/15/2004,11/14/2003,11/17/2003,AAC,05/12/2004,,41.894941993,-87.766879338,"(41.89494199271389, -87.76687933825816)"
